,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Kaleb,,,Kaleb adalah salah satu dari dua belas mata-mata yang diutus Musa untuk mengamati Kanaan. Dia dan Yosua adalah satu-satunya dari mata-mata itu yang percaya bahwa orang Israel dapat menaklukkan orang Kanaan. Allah memberikan hadiah kedua pria ini karena iman dan keberanian mereka dalam pertempuran.,,,"Caleb means dog, that is, faithful companion.",,,,,,,,,,,,,,,,,,,,,,,,
t,unta,Unta-unta,"binatang kamel; kamel (K); gimel (W dari bahasa Arab)
",Unta lebih tinggi dari kuda dan keledai. Orang-orang bisa naik unta. Unta juga bisa membawa beban. Bulu unta digunakan untuk membuat kain kasar.,"keledai, kuda",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Kanaan ,"orang Kanaan, orang-orang Kanaan",,"Kanaan adalah nama tanah yang Allah janjikan akan Dia berikan kepada bangsa Israel untuk menjadi tanah air mereka. Sebagian besar Kanaan menjadi tanah Israel. Saat ini, bagian dari Kanaan disebut Palestina.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,yaspis merah,,permata; batu berharga (W),Yaspis merah adalah sejenis batu langka berwarna kemerahan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,mengukir,"mengukirkan, terukir, diukir",Memotong-motong kayu untuk membuat sesuatu (G);,Mengukir sesuatu berarti memotongnya dengan alat supaya rupanya berbeda. Orang-orang mengukir berhala dari batu atau kayu.,"menciptakan, mendirikan, membangun ",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Kaisar,"raja, Firaun",,Kaisar adalah nama atau gelar yang diberikan orang Romawi kepada pemimpin tertinggi atau raja mereka. Orang Mesir menamai pemimpin tertinggi mereka Firaun.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Kaisarea,,,Kaisarea adalah sebuah kota. Orang-orang Romawi dan orang-orang yang lain menamai beberapa kota Kaisarea sebagai cara untuk menghormati Kaisar/raja Romawi.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,perwira,Perwira-perwira,kepala tentara (G); pemimpin pertempuran (W),Perwira adalah orang militer Romawi yang memimpin hingga 100 tentara. Akar kata perwira dalam beberapa bahasa berarti 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,rantai-rantai,"rantai, belenggu, belenggu-belenggu",diikat (G);,Rantai itu seperti tali yang terbuat dari lingkaran logam kuat yang disambungkan satu sama lain. (Terkadang rantai digunakan untuk mengikat atau menahan orang berbahaya seperti penjahat atau orang yang kerasukan setan.),"penjara, tali","Do you need this as chains are used for other purposes, too?: Men used chains to bind criminals and demoniacs.",GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,kereta perang,"Kereta, kereta-kereta",,Kereta perang adalah kereta yang bergerak cepat yang hanya memiliki dua roda dan ditarik oleh kuda. Raja dan pejabat penting bepergian dengan kereta perang.,Kuda-kuda,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,kerub,Kerub-kerub,,"Ada dua jenis kerub: (1) Patung yang bersayap, seperti yang ada di atas Tabut Perjanjian. (2) Roh-roh yang menjaga takhta Allah di surga.",malaikat,,GC 07-Feb-19 A babylonian word employed by exhilic prophets.,,,,,,,,,,,,,,,,,,,,,,,,
t,Kristus,"diurapi, Mesias",Al-Masih (W),"Kristus bukanlah nama, Kristus adalah gelar yang berarti diurapi. Dalam Perjanjian Lama, orang Israel akan mengurapi seorang raja atau nabi baru dengan minyak sayur. Dalam Perjanjian Baru, Allah mengurapi Yesus dengan Roh Kudus-Nya. Namun, orang Kristen biasanya menggunakan kata Kristus sebagai nama tanpa menerjemahkannya. Dalam beberapa ayat 'Kristus' dapat diterjemahkan sebagai 'Raja yang Allah janjikan akan datang suatu hari nanti'.",,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,orang Kristen,orang percaya,"kelompok orang yang beriman (kepada Yesus);
pengikut Kristus; orang yang menjadi milik Kristus (R);
Orang-orang yang mengikuti Al-Masih (W)","Kristen secara harfiah berarti ""Kristus kecil"", atau ""pengikut Kristus"", orang-orang yang mengikuti teladan dan ajaran Kristus.
Alkitab menggambarkan orang Kristen dalam banyak cara. Mereka adalah orang kudus yang menjadi milik Allah; 'orang percaya' = orang-orang yang beriman kepada Yesus; 'murid' = orang-orang yang mematuhi perintah Yesus; 'saudara dan saudari' = orang-orang yang saling mencintai; 'jemaat' = orang-orang yang beribadah bersama.","orang kudus, murid-murid, rasul",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,jemaat,,Pertemuan orang percaya (W); orang-orang beriman (R); orang-orang yang beribadah (K),"Setiap komunitas pengikut Yesus adalah jemaat, dan semua jemaat Kristen bersama-sama membentuk jemaat Kristus, baik di bumi maupun di surga. Alkitab juga menyebut jemaat sebagai Tubuh Kristus.","Orang-orang kudus, kumpulan, perkumpulan",,"No ! Never a building. And capital letters mean nothing in many of the world's scripts. Whilst some of Israel become members of the church, the church has never become Israel. ",,,,,,,,,,,,,,,,,,,,,,,,
t,kayu manis,,sinamon (R); kinamon (K);,"Kayu manis adalah bumbu harum yang terbuat dari kulit pohon jenis tertentu. Itu dicampur dengan minyak yang digunakan untuk mengurapi raja, atau untuk menyiapkan jenazah untuk penguburan.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,sunat,"menyunat, menyunatkan,  bersunat, disunat",potongan lingkaran; memotong sekitar (R);,"Sebuah ritual yang dilakukan dengan memotong kulit luar ujung penis anak laki-laki atau pria. Allah memerintahkan sunat untuk semua pria Israel atau bayi laki-laki sebagai tanda bahwa mereka setia pada Perjanjian Lama. Dalam Perjanjian Baru, sunat fisik tidak lagi diharuskan untuk menunjukkan hubungan atau kesetiaan kepada Allah. Sebaliknya, ini digunakan secara kiasan untuk menjelaskan bagaimana Kristus telah menghilangkan sifat kedagingan (dosa) orang percaya untuk memberikan sifat yang baru dan benar (Kol. 2:11-13; Rm. 4:11; 1 Kor. 7:18 ). Baptisan sekarang juga adalah tanda kesetiaan kita pada Perjanjian Baru Allah.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,kota,Kota-kota,,"Kota adalah sebuah wilayah yang memiliki struktur pemerintahan. Kampung adalah kelompok rumah keluarga. Pada zaman Alkitab, kota-kota biasanya terdapat kumpulan rumah dan bangunan terbesar, seringkali dengan tembok batu pelindung yang kuat di sekelilingnya.",kampung,,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,tahir,"mentahirkan, ditahirkan",bersih (R);,"Di dalam hukum Musa, orang Yahudi harus melakukan mandi ritual, atau melakukan pengorbanan, sebelum melayani Allah. Orang-orang bisa menajiskan diri atau membuat diri mereka najis dengan melayani berhala. Kontak dengan mayat atau darah bisa membuat orang najis secara ritual.
  Di dalam Perjanjian Baru, darah Yesus mentahirkan orang percaya dari segala dosa dan kenajisan, melalui iman kita kepada-Nya. (Pemuda harus tetap murni secara seksual sambil menunggu pernikahan.)","bersih, suci, murni, mengampuni",People can defile themselves by serving idols. Contact with dead or blood can make ritually unclean. (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,perintah-perintah,perintah,,"Perintah adalah suruhan yang diberikan oleh seorang pemimpin kepada orang lain untuk dipatuhi. Perintah adalah suruhan yang menjadi permanen, seperti Sepuluh Perintah, dan perintah Yesus.",hukum,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,gundik,Gundik-gundik,Seseorang yang seperti seorang istri (G);,"Beberapa orang kaya menikah dengan dua jenis wanita: Istri yang anaknya dapat menerima warisan, dan gundik yang anaknya tidak dapat menerima warisan.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,menghukum,"mempersalahkan, dihukum",,"Menghukum berarti menjatuhkan hukuman terhadap seseorang, terkadang dengan memerintahkan pejabat untuk menghukum seseorang. Hakim menghukum penjahat. Allah menghukum malaikat dan manusia yang berdosa dan tidak bertobat.","memberkati, mengutuk",,,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
t,mengaku,"diakui, mengakui",beri tahu (G); menerima (W),Mengaku berarti mengatakan apa yang Tuhan katakan tentang sesuatu. Mengakui dosa berarti mengakui bahwa kita telah melakukan sesuatu yang dilarang oleh Allah. Mengakui Kristus berarti mengatakan bahwa kita percaya apa yang Allah katakan tentang Dia.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Korintus,orang Korintus,,Korintus adalah kota perdagangan besar di negara yang disebut Yunani. Kota itu penuh dengan orang-orang yang menyembah banyak berhala. Paulus memulai jemaat-jemaat Kristen baru di Korintus dan menulis surat-surat kepada mereka (Kisah Para Rasul 18).,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Kornelius,,,"Kornelius adalah seorang perwira militer Romawi yang berdoa kepada Tuhan. Tuhan mengirim seorang malaikat kepadanya menyuruhnya memanggil Petrus untuk bertemu dengan dia. Ketika seisi rumah Kornelius dan teman-temannya mendengar Petrus menceritakan tentang Yesus, mereka menjadi orang Kristen non-Yahudi pertama. (Nama Kornelius berarti Tanduk.)",,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,negeri,"Negeri-negeri, bangsa, bangsa-bangsa",tanah (G);,Negeri adalah tanah yang sangat luas yang memiliki penduduk dan bisa juga memiliki pemerintahan. Negeri juga bisa disebut bangsa.,"kerajaan, propinsi, tanah",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t 107,perjanjian,,"saling menjanjikan sesuatu (D);
janji yang kuat;
kesepakatan (W); ikatan (R);
Perkataan saya yang baru tentang apa yang akan saya lakukan (G) (Ibrani 8:8);
pembicaraan yang mengikat (PNG);
","Perjanjian adalah kesepakatan yang bersifat serius antara dua orang atau kelompok yang berjanji untuk saling membantu. Allah membuat perjanjian dengan beberapa pria dan dengan Israel. Allah berjanji untuk memberkati orang Israel, jika mereka mematuhi hukum-Nya. Yesus telah membuat perjanjian 'baru' untuk memberikan kehidupan kepada semua orang yang mematuhi perintah-perintahnya.","janji,
Sumpah, persetujuan, persekutuan",binding tok (other language),Jesus' commandments include saving faith.,,,,,,,,,,,,,,,,,,,,,,,,
t 100,menciptakan,diciptakan,"menyebabkan sesuatu menjadi (R); 
Membuat (G)
",Menciptakan berarti membuat sesuatu yang baru. Allah menciptakan dunia dan semua makhluk hidup. Kita menjadi ciptaan baru ketika kita percaya kepada Yesus. Suatu hari Allah akan menciptakan langit dan bumi yang baru.,"mengukir, membangun
",,,,,,,,,,,,,,,,,,,,,,,,,,
t,salib,kayu salib,pohon salib (K); dua batang kayu yang bersilang (W);,"Kayu salib adalah alat untuk menyiksa dan membunuh penjahat kejam. Orang Romawi biasanya memaku atau mengikat kaki seseorang ke tiang kayu yang berdiri tegak dan mengikat atau memaku tangannya di balok kayu yang di atas tiang itu, lalu membiarkannya mati. Setelah Yesus mati di kayu salib karena dosa kita, Allah mengampuni kita yang percaya. (Salib Yesus juga mengingatkan kita bahwa kita bisa saja menderita karena iman kita kepada-Nya.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,mengutuk,"dikutuk, terkutuk ",mengatakan hal yang sangat buruk kepada/tentang yang lain (G);berbicara buruk tentang yang lain (R); kemarahan Tuhan (yang besar / kuat) (R); menyebabkan kerusakan; menghukum;,"Mengutuk berarti mengucapkan kata celaka kepada orang lain. Allah telah mengutuk semua orang yang memilih untuk melakukan kejahatan. Allah juga mengutuk Yesus yang tidak bersalah, sehingga dia bisa mengampuni kita dan membatalkan kutukan Allah.","memberkati, menghukum","maybe rather than condemn, it would be 'punish, cause harm'",,,,,,,,,,,,,,,,,,,,,,,,,
t,tabir,tirai,,"Tabir adalah kain besar yang tepi atasnya digantung. Tabir berfungsi menutupi jendela, menutupi pintu, atau membagi ruangan di dalam rumah.",,,material' can be anything. Cloth seems more specific. Opening also seems a bit general.,,,,,,,,,,,,,,,,,,,,,,,,
n,Damsyik,,,Damsyik adalah salah satu kota tertua di dunia yang terletak ke arah timur laut dari Israel. Itu tetap menjadi ibu kota negara Siria. Yesus menampakkan diri kepada seorang pria bernama Saulus di dekat Damsyik. Saulus menjadi rasul yang juga disebut Paulus.,,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Daniel,,,"Daniel masih muda ketika orang Babel menghancurkan Yerusalem dan membawa banyak orang Yahudi sebagai tawanan ke Babel. Daniel menjadi seorang tawanan juga dan menaati Allah sepanjang hidupnya. Dia tetap menjadi pejabat yang jujur, meskipun tinggal dan bekerja di istana raja kafir. Allah menunjukkan kepada Daniel arti mimpi, dan mengungkapkan kepadanya masa depan bangsa-bangsa. (Nama Daniel berarti ""Allah adalah hakim saya"".)",,,Jesus called Daniel a prophet (Mt 24:15) but the book of Daniel is not classed with the prophets but as a writing.,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Darius,,,"Darius adalah raja ke-4 Kekaisaran Persia, 550–486 SM. Dia menaklukkan Babel pada tahun 539 SM selama masa hidup Daniel. (Nama Darius berarti Dia menyimpan kebaikan.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Daud,raja Daud,,"Daud, raja kedua Israel, hidup sekitar 1000 tahun sebelum Yesus. Dia adalah seorang gembala yang kemudian mendapatkan reputasi sebagai prajurit yang gagah berani. Dia juga memainkan musik dan membuat lagu, dan beberapa lagu itu telah menjadi mazmur di dalam Alkitab. Daud tetap setia kepada Allah sepanjang hidupnya, dan Allah berjanji kepadanya bahwa keturunannya akan memerintah Israel selamanya. Yesus adalah keturunan (putra) Raja Daud. (Nama Daud berarti Kekasih.)",raja,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,kematian,"mati, maut",,"Ada beberapa macam kematian: (1) kematian fisik, ketika roh kita meninggalkan tubuh kita, (2) kematian kekal yang disebut juga 'kematian kedua', berarti masuk neraka selamanya, (3) kematian rohani berarti hidup tanpa ada hubungan dengan Allah dan Roh Kudus, (Karena Adam berdosa, kita semua dilahirkan dalam keadaan mati secara rohani dan perlu 'dilahirkan kembali.') dan (4) menolak berbuat apa yang salah, disebut 'mati terhadap diri sendiri,' dengan pertolongan Roh Kudus Allah.","darah, korban",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Debora,,,"Debora adalah seorang nabiah Israel (nabi wanita) pada zaman pemerintahan para Hakim. Melalui dia, Tuhan memerintahkan Barak untuk berperang melawan pasukan raja Yabin dari Kanaan. (Nama Debora berarti ""lebah"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Debora,,,"Ada dua wanita bernama Debora: (1) perawat Ribka yang meninggal di dekat Betel, dan (2) seorang pemimpin Israel yang memimpin mereka untuk menang atas musuh mereka. (Nama Debora berarti lebah.)",,,-4,,,,,,,,,,,,,,,,,,,,,,,,
t,peraturan,"Undang-undang, perintah",,Peraturan adalah hukum formal yang diucapkan oleh seorang raja. Setiap orang harus mematuhi raja mereka.,hukum,,,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Delila,,,Delila adalah wanita Filistin yang dinikahi Simson. (Nama Delila berarti menyenangkan.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Demetrius,,,Ada dua orang bernama Demetrius. (1) Salah satunya adalah seorang pandai besi di kota Efesus yang menyembah seorang dewi bernama Artemis. Dia mengajukan tuntutan terhadap Paulus di pengadilan kota. (2) Yang lainnya adalah seorang Kristen yang memiliki reputasi baik (3 Yohanes 1).,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,setan,"Setan-setan, roh jahat, roh-roh jahat","roh yang memberontak kepada Allah;
roh jahat (G)","Setan-setan adalah roh-roh yang memberontak melawan Allah, Pencipta mereka. Mereka dapat mendiami dan mempengaruhi manusia yang tidak menaati Allah, yang melayani dewa lain, atau yang memilih untuk melakukan kejahatan. Iblis adalah setan utama. Yesus telah memberikan kuasa kepada para pengikutnya untuk mengusir setan/roh jahat.","malaikat, Iblis ",,Demons are never said to be fallen angels (messengers). The Rabbis taught that demons are the disembodied souls of the biblical Nephelim. Local cultures have their own beliefs about evil spirits.,,,,,,,,,,,,,,,,,,,,,,,,
n,Artemis,,,Diana adalah nama dewi Yunani (berhala) di antara dewa dewi lain yang disembah oleh orang-orang di kota Efesus.,berhala,,,,,,,,,,,,,,,,,,,,,,,,,,
t,murid,Murid-murid,"pelajar; siswa (secara harfiah ‘anak belajar’) (R);
Orang yang dalam pelatihan (magang);
Orang yang saya (Yesus) ajarkan (G);
siswa (tetapi tidak seperti di kelas);
Kristen;
orang yang mengikuti/menaati Yesus;",Seorang murid adalah orang yang mengikuti instruksi gurunya. Yesus memiliki banyak murid. Dia memerintahkan murid-muridnya untuk pergi memuridkan orang-orang di setiap bangsa untuk menjadi murid Yesus dengan membaptis mereka dan mengajar mereka untuk mematuhi perintah-perintahnya.,"rasul, orang Kristen",,"GC: Longer notes contain a lot of fascinating information, yet do not necessarily help translators find an appropriate term to employ. ",,,,,,,,,,,,,,,,,,,,,,,,
t,keledai,Keledai-keledai,kuda kecil; hewan beban (W); binatang (disebut) donki,"Keledai adalah binatang seperti kuda kecil, yang bisa ditunggangi orang. Keledai juga membawa beban dan menarik bajak.",,other language: animal (called) donki (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,ragu-ragu,"tidak percaya, bimbang, meragukan, diragukan, keraguan, keragu-raguan",dalam keadaan tidak tetap hati; goyah (W);,"Ragu-ragu berarti tidak yakin tentang sesuatu, atau tidak mempercayai sesuatu yang tampaknya tidak benar. Meragukan janji Allah berarti tidak mempercayai apa yang telah dikatakan atau diungkapkan-Nya. Meragukan berarti curiga atau skeptis terhadap kebenaran tentang sesuatu.","kepercayaan, percaya ",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,naga,,reptil besar; ular besar (K),"Naga adalah ular atau reptil besar. Musuh Allah Iblis disebut naga, karena dia kuat, menakutkan, merusak dan jahat. Iblis berwujud naga (ular) ketika dia menyesatkan manusia pertama untuk tidak menaati Allah. Dalam Kitab Wahyu seekor naga digunakan sebagai lambang atau gambaran Iblis.",ular,,Dragons of various sizes certainly do live on earth.,,,,,,,,,,,,,,,,,,,,,,,,
t,mimpi,Mimpi-mimpi,,Mimpi adalah apa yang dilihat dan didengar seseorang saat tidur. Allah atau malaikat terkadang berbicara kepada orang-orang dalam mimpi. Allah memberi kemampuan kepada Yusuf dan Daniel untuk menceritakan arti dari beberapa mimpi orang yang sulit dipahami.  ,penglihatan,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,bumi,,tanah (G),"Bumi berarti (1) tanah, (2) segala sesuatu di bawah langit, (3) tanah tempat kita manusia tinggal, dan (4) tempat tinggal orang mati di bawah tanah.","dunia, surga",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Eden,,,Eden adalah nama sebuah taman yang indah di mana Allah menempatkan manusia pertama. Allah bertemu dengan mereka di sana sebelum mereka berdosa terhadap Allah.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Edom,,,Edom adalah wilayah ke arah timur dari Israel di mana keturunan Esau menetap. Orang Edom menyembah dewa-dewa palsu dan menjadi musuh Israel. Edom berarti merah.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
